日期,星期,商品,天气,是否周末,是否促销,销量,客单价,销售额
2024-05-21,周二,芋泥波波,雨,False,False,12,11,132
2024-05-09,周四,芋泥波波,晴,False,True,39,18,702
2024-05-11,周六,柠檬茶,雪,True,False,52,19,988
2024-03-01,周五,杨枝甘露,雨,False,False,26,20,520
2024-04-18,周四,芋泥波波,雨,False,False,21,17,357
2024-04-18,周四,芋泥波波,雪,False,False,24,19,456
2024-03-09,周六,珍珠奶茶,雨,True,False,35,12,420
2024-04-28,周日,芝士奶盖,雨,True,False,40,14,560
2024-05-27,周一,芋泥波波,雪,False,False,17,17,289
2024-05-21,周二,可可奶茶,雨,False,False,17,13,221
2024-04-10,周三,水果茶,晴,False,False,27,15,405
2024-05-03,周五,水果茶,多云,False,False,27,18,486
2024-05-14,周二,水果茶,雨,False,False,24,18,432
2024-03-07,周四,芋泥波波,多云,False,False,20,19,380
2024-04-18,周四,冰美式,雪,False,False,32,10,320
2024-03-15,周五,可可奶茶,雨,False,True,999,17,612
2024-04-03,周三,可可奶茶,雪,False,False,25,14,350
2024-05-04,周六,冰美式,多云,True,False,33,18,594
2024-05-07,周二,珍珠奶茶,阴,False,True,39,13,507
2024-05-12,周日,芋泥波波,阴,True,False,35,12,420
2024-04-30,周二,可可奶茶,雨,False,False,24,16,384
2024-05-09,周四,柠檬茶,阴,False,False,29,15,435
2024-05-06,周一,抹茶拿铁,多云,False,False,18,10,180
2024-03-30,周六,冰美式,晴,True,True,52,13,676
2024-03-05,周二,芝士奶盖,雪,False,False,22,17,374
2024-03-17,周日,冰美式,阴,True,False,50,16,800
2024-03-13,周三,水果茶,阴,False,False,21,20,420
2024-05-22,周三,芋泥波波,阴,False,False,12,13,156
2024-05-08,周三,抹茶拿铁,阴,False,True,34,11,374
2024-05-10,周五,芋泥波波,雪,False,False,12,13,156
2024-05-02,周四,抹茶拿铁,阴,False,False,0,16,288
2024-04-03,周三,抹茶拿铁,阴,False,False,27,20,540
2024-03-20,周三,柠檬茶,多云,False,False,28,18,504
2024-04-10,周三,珍珠奶茶,雪,False,False,19,13,247
2024-05-05,周日,芋泥波波,晴,True,False,40,13,520
2024-05-12,周日,柠檬茶,雪,True,True,60,20,1200
2024-05-06,周一,芝士奶盖,多云,False,False,23,13,299
2024-03-17,周日,青稞奶茶,雨,True,False,40,10,400
2024-05-12,周日,芋泥波波,雪,True,False,31,12,372
2024-03-09,周六,柠檬茶,雨,True,False,51,14,714
2024-05-23,周四,可可奶茶,雪,False,False,20,11,220
2024-03-18,周一,青稞奶茶,晴,False,False,15,14,210
2024-03-27,周三,芝士奶盖,雨,False,False,20,10,200
2024-04-24,周三,青稞奶茶,晴,False,False,13,20,260
2024-03-21,周四,抹茶拿铁,雪,False,True,0,18,648
2024-05-14,周二,可可奶茶,阴,False,True,33,10,330
2024-03-27,周三,柠檬茶,雨,False,False,32,19,608
2024-03-31,周日,杨枝甘露,阴,True,True,51,19,969
2024-05-29,周三,芋泥波波,晴,False,False,25,13,325
2024-04-28,周日,芝士奶盖,多云,True,False,44,13,572
2024-04-05,周五,芋泥波波,雨,False,False,24,20,480
2024-05-08,周三,芝士奶盖,晴,False,False,14,12,168
2024-04-03,周三,珍珠奶茶,雪,False,False,18,15,270
2024-05-05,周日,芋泥波波,雪,True,True,53,10,530
2024-05-08,周三,柠檬茶,阴,False,True,46,19,874
2024-03-16,周六,青稞奶茶,雨,True,False,46,16,736
2024-05-10,周五,杨枝甘露,阴,False,False,22,19,418
2024-04-08,周一,水果茶,雨,False,False,16,19,304
2024-04-11,周四,抹茶拿铁,阴,False,False,32,17,544
2024-03-22,周五,芋泥波波,雪,False,False,28,15,420
2024-03-31,周日,青稞奶茶,多云,True,True,45,17,765
2024-03-10,周日,抹茶拿铁,雪,True,True,61,16,976
2024-05-23,周四,珍珠奶茶,阴,False,False,21,15,315
2024-04-01,周一,芋泥波波,多云,False,False,34,18,612
2024-05-16,周四,芝士奶盖,雪,False,False,32,16,512
2024-05-10,周五,抹茶拿铁,阴,False,False,18,20,360
2024-05-06,周一,抹茶拿铁,雨,False,False,21,13,273
2024-04-10,周三,可可奶茶,多云,False,True,30,13,390
2024-04-22,周一,芝士奶盖,阴,False,True,46,19,874
2024-03-03,周日,冰美式,阴,True,True,56,16,896
2024-04-23,周二,可可奶茶,阴,False,False,0,17,391
2024-05-25,周六,水果茶,阴,True,False,0,18,702
2024-05-15,周三,冰美式,晴,False,False,12,17,204
2024-04-03,周三,水果茶,多云,False,False,25,16,400
2024-04-23,周二,青稞奶茶,阴,False,True,30,15,450
2024-03-09,周六,珍珠奶茶,多云,True,True,44,13,572
2024-04-30,周二,芋泥波波,阴,False,False,21,12,252
2024-05-31,周五,芋泥波波,雨,False,True,29,19,551
2024-04-18,周四,水果茶,晴,False,False,26,13,338
2024-04-08,周一,冰美式,雪,False,False,18,18,324
2024-04-17,周三,芋泥波波,晴,False,False,27,11,297
2024-04-16,周二,抹茶拿铁,阴,False,True,42,14,588
2024-05-08,周三,抹茶拿铁,阴,False,False,33,14,462
2024-04-01,周一,芋泥波波,阴,False,False,25,19,475
2024-04-18,周四,芝士奶盖,阴,False,False,12,17,204
2024-04-03,周三,芝士奶盖,雪,False,False,-1,18,396
2024-03-11,周一,柠檬茶,阴,False,False,26,17,442
2024-05-02,周四,抹茶拿铁,晴,False,False,16,13,208
2024-05-14,周二,芝士奶盖,雪,False,False,31,18,558
2024-05-29,周三,抹茶拿铁,雨,False,False,19,13,247
2024-05-08,周三,杨枝甘露,多云,False,False,20,22,440
2024-05-07,周二,冰美式,晴,False,False,23,13,299
2024-04-08,周一,珍珠奶茶,雨,False,True,32,14,448
2024-03-17,周日,抹茶拿铁,晴,True,False,35,17,595
2024-03-24,周日,珍珠奶茶,阴,True,True,50,15,750
2024-05-20,周一,珍珠奶茶,多云,False,False,18,12,216
2024-03-16,周六,可可奶茶,雪,True,False,47,13,611
2024-04-18,周四,抹茶拿铁,雨,False,False,30,14,420
2024-03-08,周五,冰美式,多云,False,False,17,20,340
2024-03-31,周日,杨枝甘露,晴,True,True,65,22,1430
2024-03-05,周二,柠檬茶,雨,False,True,48,20,960
2024-03-26,周二,水果茶,雪,False,False,15,14,210
